Title,Platform,sources,scores
Beijing 2008: The Official Video Game of the Olympic Games, PlayStation 4,,
Bionicle Heroes, PlayStation 3,,
Boogie, PC,,
Brain Voyage, Wii,,
Brunswick Pro Bowling, PSP,,
Caveman Warriors, PC,,
Cocoto Fishing Master, Switch,,
Crescent Pale Mist, GameCube,,
Cross Edge, Xbox,,
"Crouching Tiger, Hidden Dragon", DS,,
Crystal Defenders, PlayStation 2,,
Darkness Within: In Pursuit of Loath Nolder, Xbox One,,
Dawn of Magic, Game Boy Advance,,
Dead Rising 3: Operation Broken Eagle, PlayStation 2,,
Defenders of Ardania, Wii,,
Dynasty Warriors: Gundam 2, Wii,,
Eden-Tomorrow, Xbox 360,,
Enemy Front, Switch,,
Escape Dead Island, DS,,
Extinction, Xbox 360,,
Game of Thrones, PlayStation 2,,
Gangs of London, Xbox,,
Great War Nations: The Spartans, Xbox 360,,
Hail to the Chimp, PlayStation 4,,
Hammer & Sickle, PlayStation 3,,
Hellpoint, PlayStation 3,,
Hi Hi Puffy AmiYumi: The Genie & the Amp, PC,,
Hidden Dragon Legend, Wii,,
Jagged Alliance: Flashback, Xbox 360,,
Jaws Unleashed, Switch,,
Kinect Joy Ride, Wii,,
Krater, PlayStation 3,,
Last Encounter, PSP,,
Leisure Suit Larry: Wet Dreams Don't Dry, PlayStation 2,,
Midnight Nowhere, Xbox 360,,
Mighty No. 9, PlayStation 2,,
Mighty No. 9, Xbox,,
Miner Wars 2081, PlayStation 3,,
Naruto: Uzumaki Chronicles 2, Xbox 360,,
NCAA Final Four 2002, DS,,
Neopets Puzzle Adventure, Xbox,,
NeverDead, Switch,,
New Frontier Days: Founding Pioneers, PSP,,
No Time to Explain, PlayStation 3,,
Over the Hedge: Hammy Goes Nuts!, PlayStation 3,,
Pax Romana, 3DS,,
Pirates of the Caribbean: Dead Man's Chest, PC,,
Rabbids Land, PlayStation 4,,
Rango, PlayStation 4,,
Realms of Ancient War, Game Boy Advance,,
Realpolitiks, PlayStation 2,,
Red Faction: Battlegrounds, Wii,,
Resident Evil: Operation Raccoon City, PlayStation 2,,
Rygar: The Battle of Argus, PlayStation 2,,
Samurai Warriors 2, Game Boy Advance,,
Seven Games of the Soul, Wii,,
Seven Samurai 20XX, PSP,,
SkateBIRD, PlayStation 4,,
Sniper: Ghost Warrior 2, PlayStation 2,,
Sniper: Ghost Warrior 2, Switch,,
SoulCalibur Legends, PlayStation 4,,
South Park: Tenorman's Revenge, PC,,
Spare Parts, DS,,
Spectra: 8bit Racing, PlayStation 3,,
Spider-Man: Web of Shadows, PlayStation 4,,
Star Horizon, PC,,
Strobophagia | Rave Horror, Wii,,
Taxi Chaos, PlayStation 2,,
TerRover, Switch,,
Tetris Evolution, Xbox One,,
The Da Vinci Code, Xbox One,,
The Dukes of Hazzard: Return of the General Lee, PC,,
The First Templar, PlayStation 2,,
The Sims 3, Xbox,,
Time Ace, Xbox One,,
Voltron: Defender of the Universe, Xbox,,
"Warhammer 40,000: Eternal Crusade", Wii,,
Warriors Orochi 2, PlayStation 4,,
WinBack 2: Project Poseidon, Xbox One,,
Winter Sports: The Ultimate Challenge, Xbox One,,
World Series of Poker, Xbox 360,,
Worlds of Magic, Xbox,,
X-Men: The Official Game, PlayStation 4,,
Yu-Gi-Oh! Zexal: World Duel Carnival, PlayStation 4,,
007 Racing, Switch,,
187 Ride or Die, Xbox 360,,
7 Wonders of the Ancient World, Wii U,,
ACORN Tactics, PlayStation 2,,
Action Bass, Xbox 360,,
Alien Syndrome, Xbox 360,,
Alpha Black Zero: Intrepid Protocol, PlayStation 5,,
And 1 Streetball, PC,,
Backyard Wrestling: Don't Try This at Home, PlayStation 4,,
Balan Wonderworld, 3DS,,
BANNERMEN, PlayStation 3,,
Baseball Riot, PlayStation,,
Beowulf: The Game, 3DS,,
Big Mutha Truckers 2, Xbox One,,
Bionicle, Xbox 360,,
Bird Mania 3D, Wii,,
Blade, PC,,
Breed, PlayStation 2,,
Brooktown High, Xbox,,
Bullet Witch, Wii,,
Captain America: Super Soldier, PlayStation 4,,
Carmageddon: Max Damage, PlayStation 2,,
Code Lyoko: Fall of X.A.N.A., Switch,,
Conflict: Denied Ops, PlayStation 4,,
Confrontation, Xbox 360,,
Crusty Demons, PSP,,
CSI: Crime Scene Investigation: Deadly Intent, PSP,,
Cubic Ninja, PlayStation 3,,
Dance of Death: Du Lac & Fey, Xbox 360,,
Daylight, Xbox,,
Dead Reefs, Xbox One,,
Dead Rising 3: The Last Agent, PC,,
Dead to Rights II, Xbox 360,,
Death by Degrees, PSP,,
Delta Force: Task Force Dagger, PlayStation 2,,
Destroyer Command, Xbox 360,,
Dino Crisis 3, PlayStation 2,,
Disaster Report 4: Summer Memories, PlayStation 2,,
Dragon Ball Z: Sagas, PlayStation 4,,
Dragon Blade: Wrath of Fire, Xbox,,
Duke Nukem Forever, Wii,,
Eat Lead: The Return of Matt Hazard, PSP,,
Eragon, 3DS,,
Evil Dead: Hail to the King, Xbox,,
Extinction, PlayStation 3,,
Fairytale Fights, Xbox One,,
Fast Lanes Bowling, PlayStation 2,,
Fuel Overdose, Xbox,,
G.I. Joe: Operation Blackout, PC,,
G.I. Joe: The Rise of Cobra, PC,,
Grom: Terror in Tibet, PSP,,
Hail to the Chimp, PlayStation 2,,
Happy Tree Friends: False Alarm, Xbox,,
Headspun, Switch,,
History Legends of War: Patton, Xbox One,,
Hospital Tycoon, Xbox,,
How to Train Your Dragon, Xbox One,,
I Am Bread, Wii,,
Immortal: Unchained, PlayStation 2,,
Inuyasha: The Secret of the Cursed Mask, PC,,
Jaws Unleashed, DS,,
Knights Contract, Xbox,,
Koi, Switch,,
Legion: The Legend of Excalibur, DS,,
Looney Tunes: Back in Action, PC,,
Malice, Wii,,
Marvel Super Hero Squad, Xbox 360,,
Monster 4X4: World Circuit, PSP,,
Murdered: Soul Suspect, PlayStation 2,,
NanoBreaker, Xbox 360,,
NARC, Xbox 360,,
NFL GameDay 2001, DS,,
NFL GameDay 2002, PC,,
OVERKILL's The Walking Dead, PlayStation 3,,
Pac-Man World Rally, Switch,,
PDC World Championship Darts 2008, DS,,
Pirates of the Caribbean: The Legend of Jack Sparrow, PlayStation 3,,
Pixel Gear, PC,,
Racquet Sports, PlayStation 4,,
Rampage: Total Destruction, PC,,
Red Johnson's Chronicles - One Against All, PlayStation Vita,,
Redout: Space Assault, PlayStation 2,,
Rengoku II: The Stairway to H.E.A.V.E.N., PlayStation 2,,
Restricted Area (2005), PlayStation 4,,
Retro Atari Classics, PC,,
Risen 3: Titan Lords - Enhanced Edition, PC,,
River King: A Wonderful Journey, Xbox 360,,
Rush'N Attack Ex-Patriot, DS,,
Saints Row 2: Ultor Exposed, PC,,
Serious Sam Advance, PlayStation 2,,
Shadow the Hedgehog, Xbox One,,
Shadwen, Xbox 360,,
Silver Chains, PlayStation 2,,
Spy Hunter, PlayStation 4,,
Spy Hunter: Nowhere to Run, Xbox 360,,
Spy Hunter: Nowhere to Run, Wii,,
Star Trek: Encounters, PC,,
Stolen, Wii,,
Super Monkey Ball Adventure, DS,,
Superman Returns, PC,,
SuperPower 2, Switch,,
Sydney 2000, Switch,,
Table Manners, 3DS,,
The Ant Bully, Switch,,
The Hardy Boys: The Hidden Theft, PlayStation 2,,
The Haunted: Hell's Reach, Xbox,,
The Hustle: Detroit Streets, PC,,
The Lord of the Rings: The Fellowship of the Ring, PSP,,
The Revenge of Shinobi, Switch,,
Top Spin 2, Xbox One,,
Twisted Metal Small Brawl, Wii,,
V-Rally 4, PC,,
Where the Wild Things Are, PlayStation 2,,
Wing Commander Arena, PlayStation 2,,
Yie Ar Kung-Fu, PlayStation 2,,
YUMENIKKI -DREAM DIARY-, PlayStation 2,,
50 Cent: Bulletproof, Game Boy Advance,,
A Witch's Tale, PlayStation 3,,
Adrenalin Misfits, PC,,
Adventure Time: Pirates of the Enchiridion, Wii U,,
AereA, Xbox 360,,
Afterfall: InSanity, PSP,,
Agatha Christie: And Then There Were None, GameCube,,
Alfred Hitchcock presents The Final Cut, DS,,
America, PlayStation 3,,
Animal Gods, PlayStation 3,,
AO International Tennis, PlayStation 3,,
Army Men: World War, Game Boy Advance,,
Backyard Wrestling: Don't Try This at Home, PC,,
Bakugan: Defenders of the Core, Switch,,
Baroque, PC,,
Battlezone, PlayStation 2,,
B-Boy, Xbox,,
Big Mutha Truckers 2, Wii,,
Bodycount, PC,,
Bubble Bobble Double Shot, PlayStation 4,,
Bugs vs. Tanks!, Xbox 360,,
Carnivores HD: Dinosaur Hunter, PC,,
Celebrity Sports Showdown, DS,,
Daredevil, PlayStation 2,,
Dead Block, PlayStation 4,,
Dead Rising 3: Chaos Rising, Xbox,,
Dead Space 3: Awakened, PC,,
Death by Game Show, PlayStation,,
Deca Sports, PC,,
Devil May Cry 2, PC,,
Disney*Pixar WALL-E, PlayStation 2,,
Disney's Atlantis: The Lost Empire - Trial By Fire, GameCube,,
Disney's Magical Mirror Starring Mickey Mouse, PlayStation 4,,
Divide, PlayStation 2,,
Dragon Rage, Game Boy Advance,,
Drawn to Life: Two Realms, Xbox One,,
Empire Earth III, PlayStation 2,,
Empire of Sin, PlayStation 2,,
Fable III: Understone Quest Pack, DS,,
Family Guy, PlayStation,,
Fear Effect Sedna, Xbox 360,,
Fishing Sim World, Xbox 360,,
Ford Bold Moves Street Racing, Wii,,
Funky Barn, Xbox 360,,
Galerians: Ash, Xbox 360,,
Generation Zero, PSP,,
Gods & Heroes: Rome Rising, PlayStation 2,,
Gomo, PlayStation,,
Guitar Hero: Van Halen, Xbox One,,
He-Man: Power of Grayskull, PlayStation 3,,
Hurry Up Hedgehog!, PC,,
Invizimals: The Lost Kingdom, Xbox 360,,
Jump Force: Deluxe Edition, Xbox 360,,
KumaWar, Xbox 360,,
Left Brain Right Brain, PC,,
Legendary, 3DS,,
Legendary, Game Boy Advance,,
Legends of Wrestling, PC,,
Lust for Darkness, PlayStation 3,,
Manic Monkey Mayhem, PlayStation 2,,
Mark McMorris Infinite Air, PSP,,
Marvel Avengers: Battle for Earth, PC,,
Marvel: Ultimate Alliance 2, PC,,
Men in Black II: Alien Escape, 3DS,,
Milanoir, 3DS,,
Minority Report: Everybody Runs, DS,,
Modern Combat: Blackout, GameCube,,
Monopoly Party!, Wii U,,
NARC, PC,,
Narco Terror, GameCube,,
NeverDead, Xbox,,
Night at the Museum: Battle of the Smithsonian, PC,,
Novadrome, PlayStation 2,,
Picklock, Xbox 360,,
Pirates: Duels on the High Seas, PC,,
Pixel Piracy, Xbox,,
Planet 51, DS,,
Planet Crashers (3DSWare), PlayStation 3,,
Postal 2, Xbox,,
Record of Agarest War Zero, Wii,,
Reservoir Dogs, GameCube,,
Reservoir Dogs, DS,,
Rugby World Cup 2011, PlayStation 4,,
RUNE II: Decapitation Edition, DS,,
RYL: Path of the Emperor, Wii,,
Samurai Sword Destiny, Xbox,,
Samurai Warriors 2: Xtreme Legends, PC,,
Soldier of Fortune: Payback, Xbox One,,
Soldier of Fortune: Payback, Xbox One,,
Sonic Adventure, Wii,,
Spider-Man: Edge of Time, PC,,
Spirits & Spells, PlayStation 2,,
Spyro: Shadow Legacy, PC,,
Star Trek: D-A-C, Switch,,
Start the Party! Save the World, PlayStation,,
Stolen, PC,,
SWAT: Target Liberty, PlayStation 4,,
Tao's Adventure: Curse of the Demon Seal, Xbox 360,,
Terminator 3: Rise of the Machines, Wii,,
Th3 Plan, DS,,
The Forbidden Arts, PlayStation 4,,
The Incredible Hulk, PlayStation 4,,
The Sims 2: Apartment Pets, PC,,
Toby: The Secret Mine, PlayStation 2,,
Tom Clancy's Splinter Cell: Chaos Theory, PSP,,
Trapped Dead, PlayStation 4,,
Tryst, PlayStation 2,,
Twin Strike: Operation Thunder, Xbox 360,,
Valhalla Knights 2, PlayStation 4,,
Vampire Moon: The Mystery of the Hidden Sun, Xbox 360,,
Voltron: Defender of the Universe, PC,,
Whiteout, PC,,
Wolfenstein: Cyberpilot, PSP,,
X-Blades, Xbox One,,
X-Blades, Xbox One,,
X-Men: Destiny, PC,,
X-Men: The Official Game, PlayStation 3,,
X-Men: The Official Game, 3DS,,
xXx, Switch,,
Ace of Spades, PlayStation 2,,
Adam's Venture Chronicles, Xbox 360,,
Aliens vs. Predator: Requiem, Switch,,
Animal Paradise, PlayStation 3,,
Army of Two: The 40th Day, PlayStation 2,,
Asphalt: Injection, Xbox,,
ATV: Quad Power Racing, PlayStation 2,,
Beyblade: Evolution, PC,,
Bicycle Casino, PlayStation,,
Blade II, Xbox 360,,
Blue Estate, PlayStation 3,,
Bust-A-Move Universe, Game Boy Advance,,
Calling, Xbox One,,
Cannon Fodder 3, Switch,,
Canvaleon, PC,,
Carnival Games for Nintendo Switch, PC,,
Castlevania Judgment, GameCube,,
Chibi-Robo! Photo Finder, PlayStation 2,,
Corpse of Discovery, Xbox 360,,
Crisis on the Planet of the Apes VR, PlayStation 3,,
CSI: Crime Scene Investigation: Hard Evidence, PlayStation 2,,
Damage Inc.: Pacific Squadron WWII, PlayStation 4,,
Deca Sports 2, PlayStation 4,,
De-formers, PlayStation 2,,
Digimon All-Star Rumble, Wii U,,
Disney's PK: Out of the Shadows, Xbox One,,
Dollar Dash, PlayStation 2,,
Domino Master, PSP,,
Double Dragon IV, Xbox 360,,
Dragon Ball Z for Kinect, PlayStation 2,,
Dragon Ball Z: Sagas, PC,,
Duke Nukem Forever, DS,,
Dungeon Hunter: Alliance, PC,,
Dungeon Twister, Xbox 360,,
Elements of War, PlayStation 4,,
Evil Dead: Hail to the King, PlayStation Vita,,
Fallout 76, Xbox,,
Final Fantasy XIV Online, PlayStation 4,,
Fuzion Frenzy 2, PlayStation 3,,
Garshasp: The Monster Slayer, Switch,,
Get On Da Mic, PlayStation 4,,
Ghost Rider, GameCube,,
Homefront: The Revolution, PlayStation 3,,
Ice Age: Scrat's Nutty Adventure, PlayStation 3,,
Immortal: Unchained, PlayStation 3,,
Iron Man 2, PC,,
Iron Sky: Invasion, PlayStation 2,,
Just Dance, PlayStation 2,,
LA Cops, Game Boy Advance,,
Lara Croft Tomb Raider: The Angel of Darkness, PlayStation 4,,
Lucha Libre AAA Heroes del Ring, Switch,,
Madden NFL Football, Switch,,
MagNets: Fully Charged, 3DS,,
Marvel Super Hero Squad, PC,,
Mercenaries 2: World in Flames, Wii,,
Mighty Morphin Power Rangers: Mega Battle, PC,,
Milanoir, Wii,,
MLB Front Office Manager, DS,,
Monster 4x4: Masters of Metal, PC,,
Moto Racer 4, PlayStation 3,,
Namco Museum Remix, Xbox 360,,
Naruto Shippuden: Ninja Council 4, PC,,
NBA Jam 2002, Wii,,
NCAA Final Four 2001, Xbox 360,,
NFL Tour, Game Boy Advance,,
Nickelodeon Kart Racers, PC,,
Ninja Reflex, Switch,,
Nitrobike, DS,,
Novastrike, PC,,
One Piece: Pirates' Carnival, Game Boy Advance,,
Operation Blockade, Wii,,
Over G Fighters, Switch,,
Over the Hedge, Wii,,
Pac-Man and the Ghostly Adventures, PC,,
Pirates of the Caribbean: The Curse of the Black Pearl, PlayStation 3,,
Pirates of the Caribbean: The Legend of Jack Sparrow, PSP,,
PixelJunk Raiders, DS,,
Platoon: The 1st Airborne Cavalry Division in Vietnam, Wii,,
Pokemon Rumble U, DS,,
Pro Cast Sports Fishing, 3DS,,
Puzzle Arcade, Game Boy Advance,,
RC Revenge Pro, PlayStation 4,,
Red Faction: Battlegrounds, Game Boy Advance,,
Red Goddess: Inner World, Wii,,
Remothered: Broken Porcelain, PlayStation 3,,
RollerCoaster Tycoon 2: Wacky Worlds, PlayStation 3,,
RTX Red Rock, PlayStation 3,,
Rugby 20, Wii,,
Saints Row: The Third - Genki Bowl VII, PlayStation 2,,
Shadow the Hedgehog, Xbox 360,,
Shaq Fu: A Legend Reborn, PSP,,
Shrek, Xbox 360,,
Shrek-N-Roll, PlayStation 3,,
Space Invaders Revolution, PlayStation 4,,
Spitfire Heroes: Tales of the Royal Air Force, PlayStation 3,,
Spore Hero Arena, Switch,,
Star Trek: Conquest, Game Boy Advance,,
Super Rub a Dub, Xbox,,
Supremacy MMA, Wii,,
Teenage Mutant Ninja Turtles 2: Battle Nexus, DS,,
Terminator Salvation, Switch,,
Texas Hold 'Em Poker, Switch,,
The Dukes of Hazzard: Return of the General Lee, Xbox 360,,
The Scorpion King: Rise of the Akkadian, PlayStation 3,,
The Unexpected Quest, GameCube,,
Theatre of War 3: Korea, Xbox,,
Those Who Remain, Xbox 360,,
Toxic Grind, PC,,
Toy Story Mania!, Xbox,,
Transformers: Rise of the Dark Spark, DS,,
Trulon: The Shadow Engine, Xbox 360,,
Twin Sector, Wii,,
Vane, Switch,,
Warriors of Might and Magic, GameCube,,
Wheels of Destruction: World Tour, Xbox 360,,
Whirlwind Over Vietnam, PlayStation 2,,
World Championship Poker: Featuring Howard Lederer - All In, 3DS,,
Xbox Music Mixer, Xbox 360,,
YAIBA: NINJA GAIDEN Z, Wii,,
YesterMorrow, Xbox,,
Yu-Gi-Oh! GX: The Beginning of Destiny, Wii,,
Zombie Wranglers, PlayStation 4,,
A Bastard's Tale, Wii,,
Alex Rider: Stormbreaker, Xbox 360,,
Alien Syndrome, PlayStation 2,,
Aliens: Colonial Marines, Xbox One,,
Amazons & Aliens, Xbox 360,,
Army Men: Sarge's Heroes 2, PC,,
Astonishia Story, Wii U,,
Astro Boy: The Video Game, PlayStation 3,,
Battle Assault 3 featuring Gundam Seed, Wii,,
Beat Down: Fists of Vengeance, Xbox 360,,
Blood Alloy: Reborn, 3DS,,
Brave: A Warrior's Tale, PC,,
Bush Hockey League, Xbox,,
Cabela's Alaskan Adventures, PC,,
Carnival Games, PC,,
ChoroQ, PlayStation 4,,
Crazy Taxi: Catch a Ride, PSP,,
"Crouching Tiger, Hidden Dragon", Xbox One,,
CSI: Crime Scene Investigation: Hard Evidence, Xbox,,
Daylight, Xbox 360,,
Deadliest Catch: Sea of Chaos, 3DS,,
Delta Force - Black Hawk Down: Team Sabre, 3DS,,
Demon Skin, GameCube,,
DICE: DNA Integrated Cybernetic Enterprises, Wii,,
Digimon World 4, PlayStation 3,,
Disney Bolt, Xbox 360,,
Disney's Hide and Sneak, Xbox 360,,
Dogz, PlayStation 2,,
Dragon Ball Z: Sagas, Wii,,
Driver: Renegade, PC,,
Element Space, Xbox 360,,
Ephemeral Fantasia, DS,,
Eragon, PlayStation 4,,
Fire Pro Wrestling, PlayStation 2,,
FlingSmash, PlayStation 4,,
Frank Herbert's Dune, PlayStation 3,,
Freestyle Motocross: McGrath Vs. Pastrana, Xbox 360,,
Freestyle Street Soccer, PlayStation 4,,
Grotesque Tactics 2: Dungeons & Donuts, DS,,
Homefront: The Revolution, DS,,
IRONFALL Invasion, PlayStation 4,,
James Cameron's Dark Angel, Xbox One,,
Le Tour de France 2013 - 100th Edition, PlayStation 2,,
Legend of the North: Konung, Game Boy Advance,,
Lucius II, Xbox 360,,
Lux-Pain, Xbox 360,,
Mass Effect: Pinnacle Station, PlayStation 4,,
Mega Brain Boost, Xbox,,
Michael Phelps: Push the Limit, Xbox One,,
Midway's Greatest Arcade Hits, Xbox 360,,
Mighty No. 9, Wii,,
Monster 4x4: Masters of Metal, Wii,,
Morphies Law, PlayStation 4,,
Murakumo: Renegade Mech Pursuit, PC,,
MX Vs ATV: Supercross, Xbox,,
Otomedius Excellent, PC,,
Out of Ammo, Xbox One,,
Paradise Cracked, Stadia,,
Paranautical Activity, Xbox 360,,
Pearl Harbor: Defend the Fleet, DS,,
Popeye: Rush for Spinach, PlayStation Vita,,
Pro Cycling Manager Season 2008: Le Tour de France, Xbox 360,,
Real War, Xbox 360,,
Red Bull BC One, Wii U,,
Regular Show: Mordecai and Rigby in 8-Bit Land, Xbox,,
Resident Evil: Operation Raccoon City, PSP,,
Rock of the Dead, PC,,
SeaBlade, PC,,
Sherlock Holmes and the Mystery of Osborne House, PlayStation 3,,
SNK vs. Capcom Card Fighters DS, PC,,
Sonic Adventure, Wii,,
SpongeBob Squarepants: The Yellow Avenger, PlayStation 2,,
Sprung, PSP,,
Spyro: Enter the Dragonfly, Xbox 360,,
Star Wars The Clone Wars: Republic Heroes, PlayStation 4,,
Stolen (2005), Dreamcast,,
Stormrise, GameCube,,
Strike Force Bowling, PlayStation 4,,
Summer Athletics: The Ultimate Challenge, PlayStation 4,,
Syberia 3, DS,,
Teenage Mutant Ninja Turtles 2: Battle Nexus, DS,,
Terminator Salvation, Switch,,
The Fight: Lights Out, Wii,,
The Muppets: Movie Adventures, PC,,
The Secrets of Atlantis, Wii,,
Those Who Remain, Switch,,
Top Gun, PSP,,
Tortuga - Two Treasures, Xbox,,
Vaccine, DS,,
Valhalla Knights 3, Xbox One,,
Vietcong: Purple Haze, DS,,
World Series Baseball 2K1, PlayStation 2,,
Zathura, Xbox 360,,
50 Cent: Bulletproof, PC,,
Agony, Xbox 360,,
Alone in the Dark, Switch,,
Balan Wonderworld, DS,,
Bee Simulator, Game Boy Advance,,
Bellator: MMA Onslaught, 3DS,,
Blood Drive, PlayStation,,
Call of Juarez: The Cartel, PlayStation 2,,
Catwoman, PlayStation Vita,,
Coast Guard, PlayStation 3,,
Cocoro: Line Defender, Xbox 360,,
Death Jr. and the Science Fair of Doom, PlayStation 4,,
Decay of Logos, PlayStation 2,,
Deep Black: Episode 1, GameCube,,
Devil's Hunt, Xbox One,,
Extinction, Wii,,
Flip's Twisted World, PlayStation 4,,
Frogger: Ancient Shadow, PSP,,
G.I. Joe: The Rise of Cobra, Xbox,,
Hellboy: The Science of Evil, PlayStation 2,,
Herbie: Fully Loaded, 3DS,,
Hexodius, Xbox,,
Hole in the Wall, 3DS,,
HomeTown Story, PC,,
Ice Age, Xbox 360,,
Indianapolis 500 Legends, Wii U,,
Jake Hunter: Detective Chronicles, Wii,,
James Cameron's Dark Angel, PC,,
Legendary, PlayStation 2,,
Looney Tunes: Back in Action, PC,,
Loons - The Fight for Fame, PlayStation 4,,
Mage Knight: Apocalypse, GameCube,,
Mahjong Tales: Ancient Wisdom, DS,,
MLB Front Office Manager, DS,,
Monster 4X4: World Circuit, PlayStation 3,,
Monster Jam: Maximum Destruction, PC,,
MTV Sports: T.J. Lavin's Ultimate BMX, Xbox One,,
My Pokemon Ranch, PC,,
Naughty Bear: Panic in Paradise, PC,,
One Piece: Pirates' Carnival, PC,,
Paranoia: Happiness is Mandatory, Xbox 360,,
PDC World Championship Darts 2008, Game Boy Advance,,
PONG Quest, Xbox 360,,
Prison Break: The Conspiracy, PlayStation 4,,
Rainbow Islands Evolution, PlayStation 2,,
Rebels: Prison Escape, Wii,,
Rush'N Attack Ex-Patriot, Game Boy Advance,,
Saw II: Flesh & Blood, PlayStation 2,,
Scramble, PC,,
Scribblenauts Showdown, Wii,,
SingStar: Ultimate Party, PC,,
Smashing Drive, PC,,
Sonic Boom: Shattered Crystal, Xbox 360,,
Spectral Souls: Resurrection of the Ethereal Empires, Xbox,,
Stronghold 3, PSP,,
Submerged, Xbox 360,,
Supremacy MMA, GameCube,,
Tactical Intervention, PlayStation 2,,
Tempest, PlayStation 4,,
Terminator: Resistance, PlayStation 2,,
Tetris Worlds, Dreamcast,,
The Guy Game, Xbox 360,,
The Punisher: No Mercy, PlayStation Vita,,
The Scorpion King: Rise of the Akkadian, DS,,
The Weakest Link, PlayStation 3,,
Thief of Thieves: Season One, DS,,
Thunderbirds, Wii U,,
Tom Clancy's HAWX 2, Xbox,,
Tony Hawk Ride, PlayStation 2,,
Transformers: Rise of the Dark Spark, DS,,
Transformers: The Game, Xbox One,,
What's Cooking with Jamie Oliver, Xbox 360,,
Wing Island, Xbox 360,,
World Racing 2, Wii,,
X-Men: Destiny, Game Boy Advance,,
.detuned, Xbox 360,,
101-in-1 Explosive Megamix, Xbox 360,,
AereA, Xbox,,
Alien Rage, Game Boy Advance,,
Animal Crossing: amiibo Festival, Xbox 360,,
Arc of Alchemist, PC,,
Arcade Sports, PlayStation 3,,
ARK Park, Game Boy Advance,,
Army Men: Sarge's Heroes 2, PlayStation 3,,
Attack on Titan: Humanity in Chains, PlayStation 2,,
B-17 Gunner: Air War Over Germany, PlayStation 4,,
Backyard Wrestling 2: There Goes the Neighborhood, PC,,
BeachHead 2000, PlayStation 2,,
Catwoman, PlayStation 4,,
Catwoman (2004), 3DS,,
Coffin Dodgers, Xbox,,
Cooking Mama: Cookstar, PC,,
Death Crimson OX, Xbox One,,
Desert Child, Xbox 360,,
Disney's PK: Out of the Shadows, PC,,
Donkey Kong: Barrel Blast, Game Boy Advance,,
Elite Warriors: Vietnam, Wii,,
Fish Tycoon, 3DS,,
Freedom Wings, Xbox 360,,
Gravitronix, DS,,
GTI Club Supermini Festa!, GameCube,,
Happy Feet, PlayStation 3,,
Harvest Moon 3D: The Lost Valley, DS,,
Inmates, PlayStation 2,,
Inuyasha: Secret of the Divine Jewel, PSP,,
Kakuto Chojin, PlayStation 3,,
Le Tour de France, PlayStation 2,,
League of War: VR Arena, Xbox,,
Lowrider, Wii,,
Major Minor's Majestic March, PlayStation,,
Make War, Xbox One,,
My Street, PlayStation 3,,
Nightcaster II: Equinox, PlayStation,,
NightCry, Xbox,,
One Piece: Unlimited Cruise SP, PlayStation 4,,
Operation Darkness, PC,,
Pokemon Dash, Xbox 360,,
Primal Carnage: Extinction, DS,,
Pure Futbol, PlayStation 2,,
Raid: World War II, Wii,,
Raid: World War II, Xbox 360,,
Rampage: Total Destruction, Game Boy Advance,,
RayStorm HD, Xbox,,
Red Ninja: End of Honor, Wii,,
R-Type III: The Third Lightning, PlayStation 2,,
Samurai Shodown Sen, PlayStation 3,,
Shadow Assault -Tenchu-, GameCube,,
Sonic the Hedgehog, PlayStation 2,,
Soulblight, PlayStation 2,,
Spectral Force Genesis, PC,,
Squad Leader, PlayStation 3,,
Starpoint Gemini, Wii,,
Summer Sports: Paradise Island, PC,,
Surfing H3O, Switch,,
The History Channel: Great Battles of Rome, Xbox 360,,
The Incredible Hulk, PlayStation 4,,
Tokyo Xtreme Racer DRIFT 2, Wii,,
Tony Hawk Ride, PC,,
Woody Woodpecker Racing, PlayStation 4,,
World Series of Poker, PlayStation 3,,
WWII Tank Commander, PlayStation 2,,
Zenith (2016), DS,,
Zoids Assault, PlayStation 2,,
007 Legends, PlayStation 2,,
7 Days to Die, Xbox,,
Aliens: Colonial Marines, Wii,,
Arctic Thunder, Xbox Series X,,
Battlestar Galactica, PlayStation 3,,
Brothers in Arms: Double Time, Xbox 360,,
Bubsy: The Woolies Strike Back, Switch,,
Call of Juarez: The Cartel, Nintendo 64,,
Catwoman, PlayStation 4,,
Crash: Mind Over Mutant, PC,,
Crime Stories: From the Files of Martin Mystere, Xbox 360,,
CSI: Crime Scene Investigation, DS,,
D1 Professional Drift Grand Prix Series, Xbox 360,,
Dead Horde, Xbox 360,,
Deus Ex: The Fall, Xbox 360,,
Dungeon Lords, Switch,,
Fantastic Four: Rise of the Silver Surfer, PlayStation 4,,
Fighting Fantasy: The Warlock of Firetop Mountain, GameCube,,
Generation Zero, 3DS,,
Ghostbusters: Sanctum of Slime, Xbox One,,
Golden Axe: Beast Rider, PC,,
Grooverider Slot Car Thunder, Xbox 360,,
Hard Rock Casino, Dreamcast,,
Hard Truck: Apocalypse, PlayStation 2,,
Heaven & Hell (2003), Wii,,
Hyperdimension Neptunia, PC,,
Hysteria Hospital: Emergency Ward, Xbox 360,,
Impire, Xbox 360,,
Infinity Runner, PlayStation 3,,
Interpol: The Trail of Dr. Chaos, 3DS,,
LA Cops, Wii,,
Maize, DS,,
Mobile Suit Gundam Seed: Never Ending Tomorrow, DS,,
Mr. Driller Online, Wii,,
Mushroom Men: Rise of the Fungi, Wii,,
N3II: Ninety-Nine Nights, PlayStation 4,,
