Name,Platform,Sources,Scores
Spider-Man: Web of Shadows," Wii, PlayStation 4","PGNx Media,NintendoWorldReport,Game Chronicles,GameSpy,GameFocus,Gameplanet,DailyGame,n-Revolution Magazine UK,Official Nintendo Magazine UK,Kombo,Nintendo Power,GameSpot,GamesRadar+,Nintendojo,N-Europe,GameZone,Cheat Code Central,Games Master UK,IGN,Nintendo Gamer,","84,80,73,70,70,70,70,70,68,65,65,60,60,60,60,59,56,53,52,51,"
Imperium Romanum, PC,"Cheat Code Central,Pelit (Finland),AceGamez,GameWatcher,PC Zone UK,GameStar,PTGamers,GamePro,Worth Playing,Game Over Online,PC Gamer UK,IGN,Gamer.nl,Play (Poland),PC PowerPlay,Jolt Online Gaming UK,PC Gamer,GameSpot,1UP","94,83,80,78,75,71,70,70,70,67,61,60,60,60,60,52,50,35,25"
Zombie Tycoon 2: Brainhov's Revenge, PlayStation 3,"Gaming Nexus,GamingTrend,PSX Extreme,PlayStation LifeStyle,Impulsegamer,The Escapist,PlayStation Universe,Official PlayStation Magazine Benelux,Digital Chumps,Playstation Official Magazine Australia,Push Square,IGN,Eurogamer Sweden","85,78,76,75,70,70,70,69,54,50,50,49,40"
Lost Planet 2, PC,"PC Games,Multiplayer.it,Meristation,GamingXP,Vandal,GameSpot,Gamekult,Gaming Age,LEVEL (Czech Republic),IGN,PC Gamer UK,PC Format,GameZone,Thunderbolt,Absolute Games","81,80,75,72,70,70,70,67,60,60,59,55,50,40,38"
Blacklight: Tango Down," PlayStation 3, Xbox 360","Game Chronicles,TheSixthAxis,XGN,GamingXP,Playstation Official Magazine Australia,Playstation: The Official Magazine (US),PSX Extreme,Vandal,Game Over Online,Play UK,PSM3 Magazine UK,PSFocus,Playstation Official Magazine UK,Gamestyle,Eurogamer Italy,GameWatcher,Cheat Code Central,TotalPlayStation,Games Master UK,Gamers' Temple,XboxAddict,Play.tm,IGN,Planet Xbox 360,Game Chronicles,MondoXbox,SpazioGames,GameShark,MS Xbox World,GameSpot,Extreme Gamer,3DJuegos,GameFocus,Thunderbolt,AceGamez,GamesRadar+,Multiplayer.it,Digital Chumps,GamePro,Games Master UK,GameZone,Game Over Online,GameTrailers,My Gamer,Armchair Empire,Official Xbox Magazine UK,Eurogamer Spain,Meristation,Gamereactor Sweden,Gamer Limit,Eurogamer Italy,Cheat Code Central,Gamervision,X-ONE Magazine UK,Metro GameCentral,1UP,Official Xbox Magazine,Gaming Nexus,games(TM),D+PAD Magazine,Console Monster,Edge Magazine,Destructoid,Gameblog.fr","80,80,80,73,70,70,67,65,65,64,63,62,60,60,60,60,56,50,50,49,85,81,80,79,77,77,76,75,75,75,75,73,71,70,70,70,70,70,70,69,65,65,65,64,60,60,60,60,60,60,60,56,55,50,50,50,50,42,40,40,40,40,30,20"
PONCHO, PlayStation 4,"Hardcore Gamer,PlayStation Universe,GameCrate,Vandal,Digitally Downloaded,PSNStores,Brash Games,God is a Geek,Playstation Official Magazine UK,TheSixthAxis,Push Square","80,80,78,75,70,60,60,55,50,50,50"
Spider-Man 3," Xbox 360, PC, PlayStation 3, Switch, PC, PlayStation 2","PGNx Media,Game Chronicles,MS Xbox World,GamingTrend,GamePro,Games Master UK,Pelit (Finland),GameZone,Game Informer,Play Magazine,XboxAddict,Xbox World 360 Magazine UK,ZTGD,Gaming Nexus,Gamers' Temple,Thunderbolt,VideoGamer,Total Video Games,Planet Xbox 360,Play.tm,AtomicGamer,DailyGame,GameTrailers,Game Over Online,GameSpot,Game Almighty,Kombo,Extreme Gamer,GamerNode,Da Gameboyz,Armchair Empire,Official Xbox Magazine,Electronic Gaming Monthly,DarkStation,G4 TV,IGN,GameSpy,Eurogamer,GamesRadar+,Cheat Code Central,GameDaily,Yahoo!,Talk Xbox,Worth Playing,My Gamer,Xbox World Australia,GameShark,Digital Entertainment News,TeamXbox,Gaming Illustrated,NTSC-uk,1UP,Official Xbox Magazine UK,Gamestyle,PALGN,The Sydney Morning Herald,Gaming Age,360 Gamer Magazine UK,X-ONE Magazine UK,Game Revolution,Edge Magazine,PGNx Media,GamingTrend,Worth Playing,PC Format,1UP,GameZone,Gamers' Temple,Cheat Code Central,Gaming Nexus,GameSpot,ActionTrip,PC Gamer UK,Game Chronicles,PC Gamer,IGN,PC Zone UK,PGNx Media,Game Chronicles,GamingTrend,GamePro,GameZone,Game Informer,Console Gameworld,PSM3 Magazine UK,GameTrailers,GameSpot,Game Almighty,GamerNode,Da Gameboyz,Electronic Gaming Monthly,IGN,GameSpy,Cheat Code Central,G4 TV,Armchair Empire,PSX Extreme,Worth Playing,TotalPlayStation,1UP,GamesRadar+,GameDaily,The Sydney Morning Herald,PSM Magazine,Thunderbolt,Gaming Age,Gamestyle,Game Revolution,Play UK,Playstation Official Magazine UK,,PGNx Media,GamingTrend,Worth Playing,PC Format,1UP,GameZone,Gamers' Temple,Cheat Code Central,Gaming Nexus,GameSpot,ActionTrip,PC Gamer UK,Game Chronicles,PC Gamer,IGN,PC Zone UK,PGNx Media,GamingTrend,Pelit (Finland),Game Chronicles,PSX Extreme,GameSpy,GameDaily,Official Playstation 2 Magazine UK,Playstation Official Magazine UK,GameSpot,GamesRadar+,GameZone,IGN,Gamers Europe","95,95,90,90,85,85,82,80,80,80,78,75,75,73,70,70,70,70,70,69,68,67,67,67,66,65,65,65,65,65,65,65,63,60,60,60,60,60,60,60,60,60,60,60,60,59,58,57,55,50,50,50,50,50,50,50,42,40,40,33,30,95,88,78,72,70,68,68,66,64,63,61,58,55,52,47,42,95,90,88,85,83,80,79,72,67,66,66,66,64,63,60,60,60,60,60,59,58,55,50,50,50,50,50,50,42,40,33,33,30,,95,88,78,72,70,68,68,66,64,63,61,58,55,52,47,42,85,75,68,60,55,50,50,50,50,47,40,40,35,35"
Arcade Classics Anniversary Collection," PlayStation 4, Switch","Digital Chumps,Video Chums,IGN Italia,XGN,Wccftech,Playstation Official Magazine UK,Eurogamer Italy,Push Square,Vandal,Metro GameCentral,Nintendo Force Magazine,Cubed3,Hobby Consolas,Gaming Age,Nintenderos,Nintendo Insider,Hardcore Gamer,Nintendo Life,NintendoWorldReport,Multiplayer.it,SpazioGames,Digitally Downloaded,Everyeye.it","75,72,67,65,62,60,60,60,60,60,80,70,70,67,60,60,60,60,60,60,57,50,45"
Space Junkies, PlayStation 4,"CGMagazine,The Games Machine,Eurogamer Italy,Everyeye.it,Multiplayer.it,Push Square,PlaySense,Video Chums,Screen Rant,PlayStation LifeStyle,Jeuxvideo.com,Playstation Official Magazine UK","85,71,70,70,70,70,65,60,60,60,60,40"
Serious Sam 3: BFE, Xbox 360,"COGconnected,Planet Xbox 360,Worth Playing,Official Xbox Magazine,Gamereactor Denmark,XGN,Eurogamer Sweden,ZTGD,Gaming Age,4Players.de,Official Xbox Magazine UK","82,80,70,70,70,65,60,60,58,56,40"
Monsters vs. Aliens," PC, Xbox 360, DS",",,PGNx Media,Game Chronicles,NintendoWorldReport,GamingTrend,GameZone,Nintendojo,IGN,Nintendo Gamer",",,78,74,60,57,53,50,30,21"
