Name,Platform,Sources,Scores
Atomic Ninjas," PlayStation Vita, PlayStation 3","Pocket Gamer UK,XGN,Gaming Age,Critical Hit,TheSixthAxis,Gamestyle,Destructoid,DarkStation,PlayStation Universe,GameOver.gr,3DJuegos,Push Square,ZTGD,Gaming Nexus,Armchair Empire,PlayStation LifeStyle","70,70,67,65,60,60,55,40,75,70,70,70,60,49,40,30"
NCAA GameBreaker 2004, PlayStation 2,"GameZone,Next Level Gaming,GamingTrend,Gamers' Temple,Operation Sports,Gaming Age,GamingWorld X,GameSpy,GMR Magazine,PSM Magazine,Cinescape,GameSpot,Gamezilla!,Official U.S. Playstation Magazine,G4 TV","77,72,71,70,68,67,67,66,60,60,58,57,50,50,40"
Speed Kings," PlayStation 2, Xbox, GameCube","Official U.S. Playstation Magazine,Gamezilla!,GameSpot,TotalGames.net,Operation Sports,Game Informer,Yahoo!,IGN,Eurogamer,PSM Magazine,Gaming Age,GameShark,PSX Nation,Cheat Code Central,Game Chronicles,XboxAddict,GameSpot,GMR Magazine,Game Informer,TotalGames.net,Yahoo!,G4 TV,Official Xbox Magazine,Play Magazine,IGN,Xbox Nation Magazine,Gaming Age,GameShark,GamePro,Play Magazine,GameSpot,GameSpy,Nintendo Power,Nintendojo,Game Informer,Cheat Code Central,Electronic Gaming Monthly,GameNow","80,79,76,70,70,65,60,55,50,50,42,40,40,90,89,80,76,70,70,60,60,60,58,58,55,50,42,40,30,75,67,65,62,60,60,60,38,33"
Bloody Roar Extreme, Xbox,"Official Xbox Magazine,Game Chronicles,IGN,GamingTrend,GameSpy,TotalGames.net,Cincinnati Enquirer,Computer and Video Games,GameZone,GameSpot,Game Informer,TeamXbox,Cheat Code Central,XboxAddict,G4 TV,Play Magazine,Xbox Nation Magazine,games(TM),Game Revolution,Electronic Gaming Monthly,GameNow,GMR Magazine","83,76,73,73,71,70,70,70,68,65,65,60,60,60,60,60,50,50,50,43,42,40"
CSI: Crime Scene Investigation," PC, DS","GameZone,Game Over Online,IGN,Cheat Code Central,Four Fat Chicks,Gamezilla!,Electric Playground,Gamers' Temple,Gamer's Pulse,Quandary,G4 TV,GameSpy,Just Adventure,PC Gamer,GameSpot,Computer Gaming World,PC Gameworld,Adventure Gamers,All Game Guide,","83,83,82,80,75,70,70,67,60,60,60,59,58,51,51,40,40,40,40,"
World War II: Panzer Claws, PC,"GameZone,PC Gameworld,IGN,PC Gamer,GameSpot,GameSpy,Computer Gaming World,Computer Games Magazine","80,78,70,70,69,65,30,20"
AirForce Delta Storm, Xbox,"Xbox Exclusive,GameShark,Hot Games,Official Xbox Magazine,GameZone,Cloudchaser,Yahoo!,GameSpot,GameSpy,Game Informer,IGN,GamerWeb Xbox,GamePro,Cinescape,Gamezilla!,TotalGames.net,Electronic Gaming Monthly,Xbox Nation Magazine,Next Generation Magazine,Game Revolution,Gaming Age","82,80,80,71,70,70,70,68,66,65,62,60,60,58,57,55,55,40,40,33,33"
ESPN International Track & Field, Dreamcast,"Hot Games,CNET Gamecenter,Dreamcast HQ,GameSpot,Sports Gaming Network,Happy Puppy,IGN,DC Swirl,Game Revolution,Daily Radar","90,80,80,78,70,65,60,50,33,0"
Godfall," PlayStation 5, PC","God is a Geek,MMORPG.com,GamingTrend,Playstation Official Magazine UK,We Got This Covered,Worth Playing,Game Revolution,The Games Machine,IGN Spain,Everyeye.it,Press Start Australia,Destructoid,Game Informer,JeuxActu,GamesRadar+,GameCrate,COGconnected,4Players.de,CD-Action,ZTGD,XGN,PlaySense,Post Arcade (National Post),SpazioGames,Jeuxvideo.com,Carole Quintaine,Meristation,Hobby Consolas,CGMagazine,Gameblog.fr,Gamer.no,Eurogamer Italy,DarkStation,Vandal,PlayStation LifeStyle,AusGamers,Multiplayer.it,Hardcore Gamer,Critical Hit,PlayStation Universe,GameCritics,DualShockers,Areajugones,WellPlayed,PCMag,USgamer,Games.cz,GameOver.gr,GameMAG,Game Rant,Push Square,Forbes,TheSixthAxis,Metro GameCentral,Digital Trends,TheGamer,M3,New Game Network,EGM,PC Invasion,PC Games,Trusted Reviews,Shacknews,GameStar,3DJuegos,Gamersky,PC Gamer,Jeuxvideo.com,Ragequit.gr,Comicbook.com,GamingBolt,MGG,IGN,Screen Rant,Gaming Nexus,Cultured Vultures,IGN Japan,Twinfinite,GameSpot,PCGamesN,LEVEL (Czech Republic)","85,75,75,70,70,70,70,70,70,70,70,70,70,70,70,68,68,68,65,65,65,65,65,65,65,65,62,60,60,60,60,60,60,60,60,60,60,60,60,60,55,55,55,50,50,50,50,50,50,50,50,50,50,50,50,50,40,40,40,75,70,70,70,67,65,65,65,65,62,60,60,60,60,60,55,50,50,50,50,50,40"
Green Lantern: Rise of the Manhunters," PlayStation 3, Xbox 360","Playstation: The Official Magazine (US),GamingXP,MEGamers,Game Informer,3DJuegos,PSM3 Magazine UK,Play UK,Digital Spy,TheSixthAxis,IGN,Playstation Official Magazine UK,Gameblog.fr,GamingXP,Official Xbox Magazine UK,Impulsegamer,GameShark,Games Master UK,Official Xbox Magazine,Xbox Achievements,Game Informer,3DJuegos,Meristation,GameSpot,IGN,Xbox World 360 Magazine UK,Gamekult,X-ONE Magazine UK,Gameblog.fr,Metro GameCentral","70,68,68,65,64,62,61,60,60,60,50,40,73,70,68,67,65,65,65,65,64,60,60,60,58,40,40,40,40"
Mafia II: Joe's Adventures, Xbox 360,"Gamereactor Sweden,Xbox World 360 Magazine UK,Eurogamer Italy,Gamers' Temple,Armchair Empire,GameSpot,Gaming Nexus,Official Xbox Magazine","80,80,70,61,60,60,42,40"
Sengoku Basara: Samurai Heroes, PlayStation 3,"1UP,Gaming Age,Play UK,PlayStation Universe,Eurogamer Portugal,SpazioGames,Worth Playing,GameWatcher,TheSixthAxis,Impulsegamer,Gamereactor Sweden,GamePro,Gamekult,Destructoid,PSFocus,Game Revolution,MEGamers,3DJuegos,Meristation,games(TM),Eurogamer Italy,Eurogamer Spain,PALGN,D+PAD Magazine,NZGamer,Gameblog.fr,GamesRadar+,GameZone,GameTrailers,Gamereactor Denmark,Playstation: The Official Magazine (US),Playstation Official Magazine UK,Console Monster,GameSpot,IGN,Metro GameCentral,Gaming Nexus","91,83,76,75,70,70,70,70,70,70,70,70,70,70,67,67,65,65,65,60,60,60,60,60,60,60,60,60,55,50,50,50,45,45,45,40,25"
Dual Blades, Game Boy Advance,"GameZone,Nintendophiles,GameSpot,Nintendo Power,Thunderbolt,IGN,GameSpy,Gamer's Pulse,GameCritics","85,75,70,64,60,55,55,52,30"
Bee Simulator," Xbox One, PC, Game Boy Advance","Official Xbox Magazine UK,Xbox Tavern,TheXboxHub,Generación Xbox,AusGamers,GameSpew,Screen Rant,GameGrin,Windows Central,Cultured Vultures,DarkStation,GameSpace,PC Invasion,GameStar,XGN,PC Games,Games.cz,Games.cz,4Players.de,CD-Action,The Indie Game Website,Everyeye.it,Game Debate,GamingTrend,Critical Hit,","80,75,70,70,69,60,50,50,50,50,30,80,80,60,60,60,60,60,59,50,50,50,50,50,45,"
The Walking Dead Onslaught," PlayStation 4, PlayStation 3","PlayStation Universe,Noisy Pixel,The Digital Fix,Hardcore Gamer,COGconnected,Push Square,Worth Playing,PlayStation LifeStyle,Screen Rant,Gameblog.fr,TheSixthAxis,GameSpew,","90,85,70,70,60,60,55,55,50,50,50,50,"
Over the Hedge," Xbox, GameCube, PlayStation 2, Wii","PGNx Media,GamingTrend,ZTGD,GameZone,Next Level Gaming,My Gamer,Game Chronicles,Gaming Illustrated,VGPub,Digital Entertainment News,Cheat Code Central,Official Xbox Magazine UK,IGN,Games Master UK,Worth Playing,G4 TV,GameShark,GameSpot,TeamXbox,Official Xbox Magazine,Gaming Horizon,Xbox Evolved,Gamezilla!,eToychest,Games Radar,Game Revolution,PGNx Media,Gaming Nexus,ZTGD,Next Level Gaming,GameZone,Game Chronicles,Play Magazine,Cheat Code Central,IGN,Worth Playing,N-Insanity,Nintendo Power,NintendoWorldReport,Kombo,G4 TV,Nintendo Gamer,GameShark,GameSpot,eToychest,Games Radar,Game Revolution,PGNx Media,ZTGD,Armchair Empire,Next Level Gaming,Worth Playing,Gaming Illustrated,Game Chronicles,Play Magazine,PSM2 Magazine UK,GameZone,Cheat Code Central,IGN,Digital Entertainment News,G4 TV,GamerFeed,Eurogamer,GameShark,GameSpot,Gaming Horizon,Play UK,VGPub,Official Playstation 2 Magazine UK,Official U.S. Playstation Magazine,TotalPlayStation,eToychest,GamesRadar+,PSM Magazine,PALGN,Game Revolution,","83,81,80,78,78,74,73,72,70,70,68,68,65,65,60,60,58,56,56,55,54,50,45,45,40,33,83,80,80,78,72,71,70,68,65,65,64,60,60,60,60,58,58,56,45,40,33,83,80,80,78,75,72,70,70,70,68,68,65,64,60,60,60,58,56,54,52,50,50,50,45,45,40,40,40,33,"
Star Wars: Lethal Alliance," PSP, DS","Play Magazine,GameSpot,Games Master UK,Game Chronicles,Official Playstation 2 Magazine UK,PSW Magazine UK,Cheat Code Central,PALGN,GameZone,IGN,Thunderbolt,Play UK,Game Informer,PSM Magazine,Digital Entertainment News,Pocket Gamer UK,GameSpy,Total Video Games,GamePro,Deeko,GamesRadar+,GameDaily,Eurogamer,VideoGamer,The A.V. Club,Pure Magazine UK,Gaming Age,Electronic Gaming Monthly,PSM3 Magazine UK,games(TM),The Sydney Morning Herald,Game Chronicles,Official Nintendo Magazine UK,GameSpot,Nintendo Power,GamingTrend,Nintendojo,Deeko,GameZone,Digital Entertainment News,GameSpy,The A.V. Club,IGN,Play Magazine,The Sydney Morning Herald,Gaming Age","75,71,71,71,70,70,70,70,70,70,70,67,65,65,65,60,60,60,60,55,50,50,50,50,50,50,50,48,47,40,40,82,75,72,70,70,70,65,60,55,50,50,45,45,40,25"
Deadbeat Heroes, Xbox One,"MondoXbox,Windows Central,SomosXbox,XboxAddict,TheXboxHub,Generación Xbox,TrueAchievements","70,70,65,60,60,53,50"
Midway Arcade Origins, Xbox 360,"EGM,Console Monster,Everyeye.it,Destructoid,Eurogamer Sweden,Vandal,Official Xbox Magazine,Eurogamer Italy,COGconnected,MondoXbox,IGN","80,65,65,60,60,60,60,60,59,57,55"
TMNT," PlayStation 2, Wii, Xbox 360, PC, DS, PSP","Play Magazine,Game Informer,GameSpy,Official Playstation 2 Magazine UK,Games Master UK,Worth Playing,Pelit (Finland),GameSpot,Armchair Empire,IGN,GamePro,VideoGamer,PSM Magazine,Playstation Official Magazine UK,PSM3 Magazine UK,GamesRadar+,The Sydney Morning Herald,Play UK,Pure Magazine UK,Play Magazine,Game Informer,GamePro,GameSpy,GamingExcellence,GameSpot,VideoGamer,Worth Playing,Nintendo Gamer,IGN,Official Nintendo Magazine UK,Nintendo Power,GamesRadar+,Gaming Target,Cheat Code Central,WHAM! Gaming,The Sydney Morning Herald,Play Magazine,Extreme Gamer,Game Informer,GameSpy,MS Xbox World,GameSpot,Worth Playing,IGN,Game Over Online,GameDaily,Yahoo!,Xbox World Australia,Xboxic,VideoGamer,360 Gamer Magazine UK,X-ONE Magazine UK,Game Almighty,Console Gameworld,TeamXbox,ZTGD,Kombo,PALGN,GamesRadar+,Gamestyle,WHAM! Gaming,Official Xbox Magazine UK,Eurogamer,The Sydney Morning Herald,Official Xbox Magazine,G4 TV,Thunderbolt,GameSpy,GameDaily,GameSpot,IGN,VideoGamer,Computer Games Online RO,PC Gamer,GamesRadar+,The Sydney Morning Herald,PC Format,PC Zone UK,,","85,75,70,70,69,68,68,66,65,60,60,60,60,60,56,50,40,40,30,85,75,75,70,61,60,60,60,59,55,54,50,50,50,48,47,40,85,75,75,70,65,64,63,60,60,60,60,60,60,60,60,60,58,55,54,50,50,50,50,50,50,50,40,40,40,40,30,70,70,64,60,60,60,60,50,40,34,32,,"
Ninja Blade, PC,"VideoGamer,GamingXP,GameStar,GameSpot,SpazioGames,Absolute Games,9Lives,LEVEL (Czech Republic),Boomtown,PC Gamer UK,PC Zone UK","80,80,73,70,68,63,62,60,50,46,29"
Mini Ninjas, DS,"GamingXP,NintendoWorldReport,Nintendojo,Official Nintendo Magazine UK,Nintendo Gamer,AtomicGamer,Nintendo Power,Cheat Code Central,IGN,Kombo","84,80,70,68,66,65,60,56,40,40"
Island Time VR, PlayStation 4,"DarkStation,COGconnected,PlayStation LifeStyle,Twinfinite,SpazioGames,Gaming Nexus,PlaySense,Push Square,Digital Chumps","80,75,75,70,65,65,40,40,40"
The Dark Eye: Demonicon, PC,"Hooked Gamers,GameStar,RPG Fan,Gaming Nexus,PC Games,Riot Pixels,Hyper Magazine,PC PowerPlay,Eurogamer Germany,GameWatcher,Gameplanet,4Players.de","73,73,70,70,70,64,60,60,60,60,45,39"
Unchained Blades, PSP,"RPG Fan,DarkStation,ZTGD,Gaming Nexus,COGconnected,RPGamer,Destructoid,Playstation: The Official Magazine (US)","82,80,73,70,65,60,40,40"
Smash Cars, PlayStation 3,"IGN,GameSpot,PSM3 Magazine UK,TheSixthAxis,Gamer Limit,Thunderbolt,PS3bloggen.se,GameFocus,Playstation Official Magazine UK,Gaming Age,Play UK","70,65,62,60,60,60,60,60,60,58,50"
Dead to Rights: Retribution," Xbox 360, PlayStation 3","AceGamez,Pelit (Finland),GamingXP,Game Informer,Impulsegamer,GameCritics,9Lives,SpazioGames,Worth Playing,Planet Xbox 360,GamesNation,XboxAddict,MS Xbox World,GamePro,Gamer.no,GameDaily,XGN,Telegraph,Totally360,GameFocus,Game Chronicles,HellBored,Vandal,Xbox World 360 Magazine UK,Games Master UK,Gameplanet,Kombo,Destructoid,Armchair Empire,ZTGD,Xbox Achievements,3DJuegos,Extreme Gamer,Edge Magazine,Metro GameCentral,VideoGamer,Gamereactor Sweden,Eurogamer Spain,IGN,Giant Bomb,Cheat Code Central,Gamereactor Denmark,The Escapist,Multiplayer.it,Gamervision,Gaming Nexus,ActionTrip,Eurogamer,Official Xbox Magazine UK,Eurogamer Italy,Gamekult,GameWatcher,Gamer Limit,Thunderbolt,Official Xbox Magazine,X-ONE Magazine UK,InsideGamer.nl,1UP,Game Revolution,GameShark,Gamer.nl,GameZone,games(TM),Gaming Age,Game Informer,SpazioGames,Digital Chumps,Meristation,PSM3 Magazine UK,PSFocus,GameDaily,GameSpot,XGN,GameFocus,Cynamite,Vandal,GameTrailers,GameZone,Play UK,GamingTrend,PlayStation Universe,Everyeye.it,ZTGD,3DJuegos,Extreme Gamer,Playstation Official Magazine Australia,Edge Magazine,VideoGamer,Gamereactor Sweden,IGN,Giant Bomb,Eurogamer Portugal,Cheat Code Central,Playstation Official Magazine UK,Gaming Nexus,Gamervision,GameWatcher,Level7.nu,PSX Extreme,InsideGamer.nl,1UP,The A.V. Club,Game Revolution,GameShark,Playstation: The Official Magazine (US),Gamer.nl,PlayStation LifeStyle,Gaming Age","84,83,81,80,80,80,79,77,77,77,76,72,70,70,70,70,70,70,70,70,69,68,68,68,65,65,65,65,65,64,64,63,62,60,60,60,60,60,60,60,60,60,60,60,58,58,51,50,50,50,50,50,50,50,50,50,45,42,42,42,40,40,40,33,80,77,76,75,74,72,70,70,70,70,70,68,68,68,68,66,65,65,64,63,62,60,60,60,60,60,60,60,60,60,58,58,50,50,49,45,42,42,42,42,40,40,40,33"
The Guild 2, PC,"Worth Playing,GameZone,PC Gamer UK,Gamers Europe,GameWatcher,Game Over Online,GamingExcellence,PC Zone UK,GameSpot,PALGN,GamesRadar+,Yahoo!,G4 TV,1UP,PC Format,PC Gamer,VideoGamer,Computer Games Magazine","76,75,70,70,68,67,67,63,62,60,60,60,60,60,59,58,40,40"
F1 2015, PC,"Ragequit.gr,Game World Navigator Magazine,GameStar,Pelit (Finland),PC Gamer,GRYOnline.pl,DarkZero,Hooked Gamers,Attack of the Fanboy,GameSpot,Eurogamer Italy,Eurogamer Poland,IGN","78,73,72,65,61,60,60,60,60,60,60,50,48"
Gretzky NHL, PSP,"GameZone,Yahoo!,IGN,GamePro,PGNx Media,Official U.S. Playstation Magazine,BonusStage,PSM Magazine,PSX Nation,GameSpot,Modojo,Gamenikki,Operation Sports,Game Informer,Game Over Online,Gaming Target,Game Revolution,1UP,DarkStation,Gaming Age,G4 TV,PSX Extreme,GameSpy","80,80,75,70,70,70,69,65,62,60,60,60,60,60,60,60,58,55,50,50,40,36,30"
Nexagon: Deathmatch, PC,"GameZone,Deeko,Game Chronicles,Gamezilla!,PC Gamer,IGN,GameShark,GameSpot,Cheat Code Central,eToychest,GameSpy,Computer Gaming World,Computer Games Magazine","83,80,74,73,72,69,64,61,60,50,49,40,40"
Soldier of Fortune II: Double Helix, Xbox,"Official Xbox Magazine,Game Informer,GamePro,Gamezilla!,Game Chronicles,Gamestyle,GameZone,Play Magazine,GameShark,Armchair Empire,GMR Magazine,TotalGames.net,G4 TV,IGN,GameNow,Into Liquid Sky,Electronic Gaming Monthly,TeamXbox,GameSpy,GamingWorld X,GameSpot,Cheat Code Central,Gamer's Pulse,Gaming Age,Xbox Nation Magazine,Eurogamer","85,80,80,79,78,70,68,67,65,65,60,60,60,58,58,58,57,56,56,53,52,50,46,42,40,40"
Whirl Tour," GameCube, PlayStation 2","GamingTrend,Game Informer,GameSpot,GameSpy,Nintendojo,Nintendo Power,Play Magazine,IGN,Armchair Empire,Nintendophiles,GamingTrend,Cheat Code Central,GameSpot,GameSpy,Armchair Empire,IGN,PSM Magazine,Official U.S. Playstation Magazine,G4 TV","89,75,65,65,60,60,60,51,45,45,89,70,65,65,58,51,50,40,40"
The Simpsons Road Rage, Xbox,"Game Informer,Hot Games,TotalGames.net,Cloudchaser,GameShark,IGN,GameSpot,Official Xbox Magazine,GameZone,Game Over Online,Gaming Age,Gamezilla!,All Game Guide,TeamXbox,Xbox Nation Magazine,Next Generation Magazine,Electronic Gaming Monthly","80,80,75,70,65,64,62,62,60,60,58,55,50,42,40,40,37"
Disney's Tarzan Untamed," GameCube, PlayStation 2","Electric Playground,Nintendo Power,GameSpy,Nintendojo,IGN,GameSpot,Yahoo!,TotalGames.net,GameCube Europe,Gaming Age,All Game Guide,Game Informer,Official U.S. Playstation Magazine,Electric Playground,IGN,PSX Nation,GameSpot,GamePro","85,76,70,64,63,62,60,52,45,42,40,78,70,70,62,60,59,40"
Illbleed, Dreamcast,"Planet Dreamcast,GamePro,IGN,GameShark,AllDreamcast,GameSpot,DC Swirl,Core Magazine,GamerWeb Sega,Daily Radar","70,70,67,64,60,60,60,58,50,50"
BANG! Gunship Elite, Dreamcast,"IGN,GamePro,GameSpot,Happy Puppy,GamerWeb Sega,Daily Radar,DC Swirl","70,70,69,55,55,50,50"
Jump Force," Xbox One, PC","Official Xbox Magazine UK,Generación Xbox,GameSpew,GameSpot,SomosXbox,4Players.de,Gamers' Temple,TheXboxHub,Game Informer,Jeuxvideo.com,TrueAchievements,Xbox Achievements,MondoXbox,Windows Central,XGN,Xbox Tavern,GameSpace,Softpedia,GameSpot,GameCrate,Riot Pixels,PC Gamer,Jeuxvideo.com,PCGamesN,BaziCenter,The Overpowered Noobs","80,75,70,70,65,65,60,60,60,55,50,50,50,50,45,43,80,75,70,68,58,55,55,50,50,30"
From Russia With Love, PSP,"Official Playstation 2 Magazine UK,Game Chronicles,Gaming Target,Armchair Empire,Next Level Gaming,Gamezilla!,Console Gameworld,IGN,GameZone,Game Informer,Deeko,Gaming Nexus,GameSpot,Cheat Code Central,Gamers' Temple,PSM2 Magazine UK,GameSpy,GamePro,Yahoo!,GamesRadar+,DailyGame,AceGamez,PSM Magazine,Play Magazine,DarkStation,Worth Playing,Games Master UK,PSW Magazine UK,Official U.S. Playstation Magazine,PSX Extreme,1UP,GamerFeed,Gaming Age","80,80,78,77,75,73,72,71,69,68,65,65,63,62,62,60,60,60,60,60,60,60,60,60,60,59,58,50,50,45,40,40,33"
Fahrenheit: Indigo Prophecy Remastered, PC,"Merlin'in Kazanı (Turkey),Multiplayer.it,Everyeye.it,IGN,Hardcore Gamer,JeuxActu,Eurogamer Italy,Eurogamer Poland,CD-Action","81,75,70,62,60,55,50,50,45"
F1 Race Stars: Powered Up Edition, Wii U,"Digitally Downloaded,3DJuegos,Official Nintendo Magazine UK,FNintendo,Eurogamer Portugal,Nintendo Life,Eurogamer Italy,4Players.de","80,70,67,60,60,60,50,49"
Root Beer Tapper, Xbox 360,"GameSpot,Planet Xbox 360,IGN,GamesRadar+,Game Chronicles,360 Gamer Magazine UK,Official Xbox Magazine,Official Xbox Magazine UK,TeamXbox,Eurogamer,X-ONE Magazine UK","73,71,70,70,64,60,60,60,54,50,20"
JoJo's Bizarre Adventure: Eyes of Heaven, PlayStation 4,"God is a Geek,Gaming Age,Gamers' Temple,GameCritics,IGN Spain,Atomix,Worth Playing,TheSixthAxis,SpazioGames,Attack of the Fanboy,Brash Games,Multiplayer.it,Everyeye.it,Gaming Nexus,LevelUp,GameSpot,GameGrin,Digitally Downloaded,GameSpew,High-Def Digest,COGconnected,XGN,Gameblog.fr,Game Revolution,The Games Machine,Eurogamer Italy,Vandal,PlaySense,Push Square,We Got This Covered,CGMagazine,ZTGD,Destructoid,Gamer.nl,Slant Magazine","85,83,78,75,75,75,70,70,70,70,70,69,66,65,65,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,45,45,30,30"
Metal Max Xeno, PlayStation 4,"PlayStation LifeStyle,DualShockers,4Players.de,Everyeye.it,Wccftech,Video Chums,Cubed3,RPG Site,GameCritics,TheSixthAxis,RPGamer,RPG Fan","80,75,70,65,65,64,60,60,55,50,40,40"
Jeremy McGrath's Offroad," PlayStation 3, Xbox 360","Games Master UK,IGN,TotalPlayStation,LaPS4,Playstation: The Official Magazine (US),PlayStation Universe,Thunderbolt,Push Square,PlaySense,Impulsegamer,Multiplayer.it,IGN,Gaming Nexus,ZTGD,Cheat Code Central,XboxAddict,Vandal,Official Xbox Magazine,Gamestyle,Gaming Age,Official Xbox Magazine UK,Eurogamer Sweden,Game Revolution,DarkStation,IncGamers","76,75,65,62,60,50,50,40,40,86,75,75,74,72,70,65,65,65,60,58,40,40,40,30,30"
Monster Jam Steel Titans 2," PlayStation 4, Xbox One, Xbox 360","Playstation Official Magazine UK,GamingBolt,GameSpew,BaziCenter,Cubed3,PlaySense,PlayStation Country,Softpedia,Daily Star,Finger Guns,IGN,Generación Xbox,Xbox Tavern,God is a Geek,XboxAddict,TheXboxHub,ZTGD,Checkpoint Gaming,IGN,","70,70,70,65,60,60,60,60,60,60,50,77,75,70,63,60,55,50,50,"
The Crew, PlayStation 4,"PlayStation Universe,Gamer.no,Hobby Consolas,LaPS4,Power Unlimited,Multiplayer.it,Destructoid,3DJuegos,PlayStation LifeStyle,XGN,MMORPG.com,Game Over Online,Pelit (Finland),GamesVillage.it,Impulsegamer,GamesRadar+,IGN Italia,Merlin'in Kazanı (Turkey),PlaySense,Game Informer,USgamer,JeuxActu,Game World Navigator Magazine,Atomix,Playstation Official Magazine Australia,LevelUp,Gamer.nl,GameTrailers,Playstation Official Magazine UK,TheSixthAxis,GameOver.gr,SpazioGames,Digital Spy,Guardian,Shacknews,NowGamer,Digitally Downloaded,Eurogamer Italy,Joystiq,Game Revolution,EGM,Hardcore Gamer,GamesBeat,Gameplanet,InsideGamer.nl,Games Master UK,Play UK,Edge Magazine,The Digital Fix,Attack of the Fanboy,CalmDownTom,Eurogamer Portugal,GameSpot,Gamestyle,Critical Hit,GamingTrend,Polygon,DarkZero,Metro GameCentral,Slant Magazine","85,80,79,76,76,75,75,75,75,75,72,72,70,70,70,70,70,70,70,70,70,70,68,65,65,65,65,62,60,60,60,60,60,60,60,60,60,60,60,60,60,60,55,55,55,54,52,50,50,50,50,50,50,50,46,45,45,40,40,40"
E.Y.E: Divine Cybermancy, PC,"Pelit (Finland),PC PowerPlay,Destructoid,FiringSquad,GameSpy,Absolute Games,GameStar,Gamekult,GameSpot,PC Master (Greece),GameTrailers,Games.cz,PC Gamer UK,Multiplayer.it,Eurogamer,Eurogamer Italy,IGN,Bit-Gamer,CD-Action,Edge Magazine,Gameblog.fr,PC Gamer","80,80,80,80,80,73,71,70,70,67,67,60,57,55,50,50,50,45,40,40,40,38"
Class of Heroes, PSP,"Gaming Age,RPGamer,Destructoid,RPG Fan,GamesRadar+,Gamervision,Cheat Code Central,GamerNode,GameZone,IGN,GamePro,Playstation: The Official Magazine (US)","83,80,80,72,70,70,62,60,55,51,50,30"
Disney's Kim Possible: Kimmunicator, DS,"GamerFeed,Next Level Gaming,GameZone,Digital Entertainment News,Gaming Age,netjak,Worth Playing,Nintendo Power,My Gamer,IGN,Nintendophiles,DarkStation,NintendoWorldReport,G4 TV","90,81,75,70,67,66,65,60,60,55,50,50,50,40"
Aqua, Xbox 360,"Game Chronicles,1UP,Cheat Code Central,Eurogamer,D+PAD Magazine,Official Xbox Magazine,GameFocus,Console Monster,X-ONE Magazine UK,IGN,GameSpot,Edge Magazine","89,75,72,70,70,70,65,65,60,55,55,30"
Desperate Housewives: The Game, PC,"PC Gamer,IGN,Entertainment Weekly,GameZone,PALGN,The Sydney Morning Herald,GamePro,GameSpot,G4 TV,PC Zone UK,WHAM! Gaming,GameDaily,PC Gamer UK,Computer Games Magazine","85,82,75,72,70,70,65,65,60,53,45,40,30,20"
LifeSigns: Surgical Unit, DS,"ZTGD,RPG Fan,GameBrink,GameZone,Cheat Code Central,Nintendo Gamer,NintendoWorldReport,Games Master UK,GameSpot,Game Informer,Thunderbolt,IGN,LEVEL (Czech Republic),Official Nintendo Magazine UK,GamingExcellence,GameShark,Pocket Gamer UK","85,83,81,75,70,68,65,65,65,60,60,55,50,46,45,42,40"
.hack//G.U. vol. 2//Reminisce, PlayStation 2,"RPG Fan,GamerNode,GameZone,Cheat Code Central,Digital Entertainment News,The New York Times,Game Revolution,GameTrailers,GamesRadar+,1UP,GameSpy,PSM Magazine,G4 TV,DarkStation,GameShark,Game Informer,GameSpot,Worth Playing,IGN,Electronic Gaming Monthly,The A.V. Club","86,77,77,70,70,68,67,65,60,60,60,60,60,60,58,58,57,55,55,50,42"
PaRappa the Rapper Remastered, PlayStation 4,"Gaming Age,TheSixthAxis,Shacknews,Meristation,Multiplayer.it,Eurogamer Italy,Everyeye.it,SpazioGames,The Games Machine,Vandal,Areajugones,GameOver.gr,PSNStores,Merlin'in Kazanı (Turkey),LevelUp,IGN Spain,GameSpew,Atomix,God is a Geek,3DJuegos,LaPS4,Push Square,PlayStation LifeStyle,Metro GameCentral,GameSpot,Destructoid,Hobby Consolas,Games Master UK,Playstation Official Magazine UK,PlayStation Universe,IGN Italia,Trusted Reviews,Gamer.no,M3","83,80,80,75,75,70,70,70,70,65,65,60,60,60,60,60,60,60,60,60,60,60,60,60,60,55,52,51,50,50,50,50,50,40"
Deiland: Pocket Planet Edition, Switch,"Multiplayer.it,KeenGamer,Gaming Nexus,Impulsegamer,Cubed3,GameSpace,RPGamer,Nintendo Life,Video Chums,CGMagazine,Vooks,Switch Player,TheSixthAxis,Gamer Escape,Shindig,Noisy Pixel,Pure Nintendo,Hey Poor Player","75,70,65,62,60,60,60,60,60,60,60,60,60,60,60,60,55,50"
Monkey King: Hero is Back, PlayStation 4,"LaPS4,GameSpace,PlayStation Country,Hobby Consolas,Vandal,Gamersky,GameSpew,PlaySense,PlayStation LifeStyle,TrueGaming,Push Square,SpazioGames,GamingTrend,Impulsegamer,Everyeye.it,DualShockers,Cultured Vultures,GameGrin","81,80,80,70,67,64,60,60,60,60,60,59,55,52,50,50,50,40"
Detective Gallo, Switch,"Digital Chumps,Worth Playing,The Games Machine,Multiplayer.it,Cubed3,Switch Player,Vooks,Gaming Age,FNintendo,Digitally Downloaded","80,75,75,70,60,60,60,50,50,30"
