name,platform
Ninja Gaiden: Master Collection, PC
Lords of Xulima, PC
Sherlock Holmes: Crimes & Punishments, Xbox One
Bee Movie Game, Xbox 360
Gyromancer, PC
Brothers in Arms: Earned in Blood, PlayStation 2
Mortal Kombat: Armageddon, Wii
Shakedown Hawaii, PC
World of Final Fantasy Maxima, PlayStation 4
Minecraft: Story Mode Season Two - Episode 1: Hero in Residence, Xbox One
Minecraft: Story Mode - Episode 4: A Block and a Hard Place, Xbox One
Star Wars: The Force Unleashed, Wii
Wild ARMs 5, PlayStation 2
Scarface: The World Is Yours, Wii
The King of Fighters 2000/2001, PlayStation 2
G1 Jockey 3, PlayStation 2
Star Wars: The Clone Wars, Xbox
Godzilla: Destroy All Monsters Melee, Xbox
ToeJam & Earl III: Mission to Earth, Xbox
Aero the Acro-bat, Game Boy Advance
Star Wars Galactic Battlegrounds: Clone Campaigns, PC
Ballistics, PC
Resident Evil 3: Nemesis, PC
F1 World Grand Prix, PC
Disney Magical World, 3DS
Spectrobes: Origins, Wii
Conarium, PC
Dead Island, PlayStation 3
Nintendogs + Cats: Toy Poodle & New Friends, 3DS
Oceanhorn 2: Knights of the Lost Realm, Switch
Fallen Earth: Welcome to the Apocalypse, PC
Anarchy Reigns, PlayStation 3
Kirby: Squeak Squad, DS
Dead Rising Triple Pack, Xbox One
Echo: Secrets of the Lost Cavern, PC
Bound, PlayStation 4
Lake, PC
ASTRONEER, PC
LEGO Marvel's Avengers, Xbox One
Steep, PlayStation 4
God's Trigger, PlayStation 4
Tower of Guns, Xbox One
Nanostray, DS
DarkStar One, PC
Job Simulator, PlayStation 4
Payday 2: Crimewave Edition, PlayStation 4
Young Thor, PSP
The Dark Pictures Anthology: Little Hope, PlayStation 4
Saints Row IV: Re-Elected, Switch
Pawarumi, Xbox One
Dead by Daylight, PC
Just Cause 3, Xbox One
Dyscourse, PC
Dragon Ball Z: Burst Limit, PlayStation 3
Phantasy Star Online Episode III: C.A.R.D. Revolution, GameCube
RIDE 3, PlayStation 4
Clea 2, Switch
