Name,Platform,Sources,Scores
Teenage Zombies: Invasion of the Alien Brain Thingys, DS,"Hardcore Gamer,Nintendo Gamer,Game Chronicles,Gamers' Temple,The New York Times,Maxi Consolas (Portugal),GameFocus,Nintendo Power,Pocket Gamer UK,n-Revolution Magazine UK,VideoGamer,AceGamez,Cheat Code Central,Thunderbolt,Destructoid,Zentendo,GameZone,IGN,Game Informer,1UP,Gaming Age,GameSpot,Jolt Online Gaming UK,Worth Playing,DarkZero,Level7.nu,GamingExcellence,Game Revolution,Gamestyle,Eurogamer","85,77,77,76,75,75,72,70,70,70,70,70,70,70,70,70,69,68,68,67,67,65,64,64,60,60,60,42,40,40"
Fret Nice, PlayStation 3,"Gaming Age,1UP,PSX Extreme,Playstation Official Magazine UK,Gamervision,Cheat Code Central,IGN,Games Master UK,ZTGD,GameSpot","83,75,70,70,68,66,65,64,60,55"
Just Cause, PlayStation 2,"Times Online,PGNx Media,Play Magazine,Official Playstation 2 Magazine UK,Cheat Code Central,Pelit (Finland),PSM3 Magazine UK,Gaming Age,Game Informer,Gaming Horizon,eToychest,AceGamez,GameSpot,Electronic Gaming Monthly,Game Chronicles,PSX Extreme,GamesRadar+,The Sydney Morning Herald,PSM Magazine,IGN,TotalPlayStation,Official U.S. Playstation Magazine,Thunderbolt","100,83,82,80,80,80,78,75,73,70,70,70,67,67,65,63,60,60,60,55,55,40,30"
Katana Kami: A Way of the Samurai Story, PlayStation 4,"Digitally Downloaded,SpazioGames,Wccftech,PlayStation Country,Vandal,Push Square,PlayStation Universe","90,71,70,70,60,60,50"
How to Survive 2, PlayStation 4,"God is a Geek,IGN Italia,Video Chums,Areajugones,SpazioGames,Gameblog.fr,The Games Machine,Hobby Consolas,Everyeye.it,CD-Action,Multiplayer.it,GameSpew,The Digital Fix","80,77,73,70,70,70,70,67,65,60,60,60,50"
We Happy Few," PlayStation 4, Xbox One","Cubed3,Digitally Downloaded,IGN,Hobby Consolas,Multiplayer.it,Atomix,Gaming Nexus,IGN Spain,PlayStation Universe,Video Chums,PlayStation LifeStyle,GameCritics,Push Square,","90,80,73,72,72,68,65,65,65,58,55,50,50,"
Disney Castle of Illusion starring Mickey Mouse, Xbox 360,"Games Master UK,God is a Geek,4Players.de,Digital Spy,Official Xbox Magazine,Joystiq,XGN,Everyeye.it,CD-Action,COGconnected,Vandal,GamesRadar+,3DJuegos,Eurogamer Germany,GameSpot,Polygon,Game Informer,Eurogamer,IGN,Meristation,Hardcore Gamer,Gameblog.fr,games(TM),Official Xbox Magazine UK,Metro GameCentral,VideoGamer","85,80,80,80,80,80,75,75,70,70,70,70,70,70,70,70,70,70,67,65,60,60,50,50,50,40"
Rise of the Triad, PC,"PC PowerPlay,ZTGD,Destructoid,GameFront,Pelit (Finland),Hyper Magazine,USgamer,NZGamer,NowGamer,Machinima,AtomicGamer,DarkStation,Vandal,Digital Chumps,AusGamers,Multiplayer.it,PC Gamer,GamingTrend,Polygon,Thunderbolt,Gamereactor Denmark,DarkZero,Hardcore Gamer,COGconnected,IncGamers,GRYOnline.pl,IGN Italia,GameTrailers,LEVEL (Czech Republic),CD-Action,GamesRadar+,Joystiq,GameSpot,4Players.de,GameStar,Metro GameCentral,GameWatcher,IGN,Riot Pixels,Games.cz","90,85,85,85,82,80,80,80,80,80,80,80,78,76,75,75,74,74,70,70,70,70,70,70,70,65,65,62,60,60,60,60,55,54,50,50,50,43,40,40"
Arietta of Spirits, Switch,"Gaming Age,Noisy Pixel,GAMES.CH,Movies Games and Tech,Shindig,KeenGamer,NintendoWorldReport,Switch Player,COGconnected","75,75,73,70,70,70,70,60,50"
Destropolis, Switch,"Gaming Age,God is a Geek,Starbit,GameOver.gr,TheGamer,Video Chums,Hey Poor Player,Screen Rant","83,75,70,70,70,60,60,50"
Another Sight, PC,,
Assault Suit Leynos, PlayStation 4,"Hardcore Gamer,GameCritics,Vandal,Push Square,Areajugones,Brash Games,PlayStation Universe,High-Def Digest","80,80,75,70,63,60,60,50"
Train Fever, PC,"GameStar,Gamer.nl,PC Games,SpazioGames,Everyeye.it,COGconnected,Softpedia,4Players.de,CalmDownTom,GameWatcher,Multiplayer.it,Gaming Nexus,Hooked Gamers,CGMagazine,CD-Action,DarkStation,Eurogamer Italy,LEVEL (Czech Republic),IGN Italia,Games.cz,Gamer.no,Gameblog.fr,PC Gamer","82,80,78,75,75,75,75,74,70,70,68,65,62,60,60,60,60,60,60,60,60,60,59"
Alien Shooter: Vengeance, PC,"AceGamez,G4 TV,GamerNode,Worth Playing,GameZone,GameSpot,IGN,Digital Entertainment News,Gamer.nl,Next Level Gaming,Gamers' Temple,GameCritics,GameDaily,GameShark,VGPub,GamesRadar+,PC Gamer","90,80,78,78,77,75,75,74,70,70,64,60,60,58,52,50,35"
Penumbra: Requiem, PC,"GamerNode,Cheat Code Central,GameFocus,IGN,Computer Games Online RO,Vandal,LEVEL (Czech Republic),CPUGamer,Adventure Gamers,Total PC Gaming,PC Gamer UK,Meristation,GamingExcellence,AceGamez","80,76,76,75,74,73,70,70,60,60,60,60,47,40"
SOCOM 4: U.S. Navy SEALs, PlayStation 3,"Game Chronicles,GamingXP,Console Monster,PlayStation Universe,ZTGD,Playstation Official Magazine Australia,Gameplanet,Vandal,Impulsegamer,Games Master UK,Digital Chumps,NZGamer,PSFocus,GameTrailers,Game Informer,3DJuegos,Game Revolution,Da Gameboyz,1UP,TotalPlayStation,PSX Extreme,GameSpot,SpazioGames,Extreme Gamer,Multiplayer.it,GameFocus,Everyeye.it,XGN,games(TM),Playstation Official Magazine UK,Worth Playing,Playstation: The Official Magazine (US),Eurogamer Sweden,Eurogamer Italy,Eurogamer Portugal,GamesRadar+,Meristation,PlayStation LifeStyle,IGN,Play.tm,PALGN,Play UK,Thunderbolt,Games.cz,LEVEL (Czech Republic),GamePro,GameOver.gr,Edge Magazine,Guardian,The Escapist,Gamekult,Gameblog.fr,Level7.nu,GameSpy,Gamereactor Sweden,Eurogamer,AusGamers,PSM3 Magazine UK,IncGamers,Cheat Code Central,Gamereactor Denmark,Joystiq,Metro GameCentral,Destructoid","91,86,85,85,84,80,80,80,80,80,80,80,79,79,78,76,75,75,75,75,75,75,75,74,74,73,72,70,70,70,70,70,70,70,70,70,70,70,70,69,65,63,60,60,60,60,60,60,60,60,60,60,60,60,60,60,55,50,50,50,50,50,30,30"
Space Ark, Xbox 360,"DarkZero,Gamestyle,Eurogamer,Totally360,Console Monster,Thunderbolt,MS Xbox World,Official Xbox Magazine,GameSpot,GameWatcher,X-ONE Magazine UK,GameFocus","80,80,80,75,75,70,70,70,65,65,50,48"
Say No! More," PC, Switch","GameGrin,GameCritics,Noisy Pixel,The Games Machine,Softpedia,PC Invasion,Hooked Gamers,4Players.de,Cultured Vultures,Hardcore Gamer,Gaming Age,Cubed3,The Indie Game Website,PC Games,Edge Magazine,","80,80,80,80,80,80,76,76,75,70,67,60,60,50,40,"
The Almost Gone, PC,"The Digital Fix,GamingTrend,Hey Poor Player,Adventure Gamers,PC Invasion,BaziCenter,New Game Network,Guardian","80,75,70,70,70,60,60,60"
Riverbond," Xbox One, PlayStation 4","TheXboxHub,XboxAddict,COGconnected,Gaming Nexus,Generación Xbox,SomosXbox,IGN Spain,Xbox Tavern,XBLA Fans,","70,70,70,70,70,65,65,65,60,"
TurnOn," PC, Xbox One","GamingTrend,Eurogamer Italy,Vandal,Riot Pixels,GameGrin,Areajugones,PLAY! Zine,GameCritics,Brash Games,ICXM,GameSpew,COGconnected,MondoXbox,XboxAddict,God is a Geek,XGN,Everyeye.it,We Got This Covered,Windows Central,XBLA Fans,Pure Xbox,ZTGD,Destructoid,GameOver.gr","85,70,70,65,65,65,60,60,80,80,80,78,76,70,70,70,70,70,60,60,60,55,55,50"
Strength of the Sword 3, PlayStation 3,,
Xotic, PC,,
Fantasy Wars, PC,,
Criminal Girls 2: Party Favors, PlayStation Vita,,
Do Not Fall, PlayStation 3,,
Digimon World: Dusk, DS,,
Area 51, PC,,
Wreckateer, Xbox 360,,
Alex Kidd in Miracle World DX," PC, Switch",",",","
King's Quest Chapter 4: Snow Place Like Home, PlayStation 4,,
Beat Sketcher, PlayStation 3,,
Panzer Tactics DS, DS,,
Rocky: Legends," Xbox, PlayStation 2",",Next Level Gaming,Warcry,PSM Magazine,GameZone,Game Chronicles,IGN,TotalGames.net,GameSpy,Eurogamer,Worth Playing,Electric Playground,Cheat Code Central,GameSpot,Game Informer,games(TM),Gamers' Temple,GMR Magazine,GameSpot AU,G4 TV,Edge Magazine,Game Revolution,Yahoo!,Official U.S. Playstation Magazine,eToychest",",84,80,75,75,75,71,70,70,70,70,70,70,68,65,60,60,60,60,60,60,50,50,50,40"
Mega Man Battle Network 4 Blue Moon, Game Boy Advance,,
Go! Go! Hypergrind, GameCube,,
Mystic Heroes," GameCube, PlayStation 2",",",","
Commandos 2: Men of Courage," Xbox, PlayStation 2",",GameZone,TotalGames.net,Games Radar,Media and Games Online Network,GameSpot,Armchair Empire,Game Over Online,IGN,PSM Magazine,Yahoo!,GameShark,GamerWeb Sony,GameSpy,Gamer's Pulse,PSX Nation,Electric Playground,Game Revolution,Play Magazine,Official U.S. Playstation Magazine",",90,85,82,75,75,73,72,70,70,70,70,70,68,60,60,60,50,50,40"
The Operative: No One Lives Forever, PlayStation 2,,
Gadget Racers, PlayStation 2,,
Alien Breed 2: Assault, Xbox 360,,
WWE 2K18," Xbox One, PlayStation 4",",Hobby Consolas,COGconnected,Vandal,IGN Spain,Forbes,Playstation Official Magazine UK,BaziCenter,GamesRadar+,Digital Chumps,Meristation,Hardcore Gamer,Trusted Reviews,The Games Machine,Atomix,LaPS4,Vgames,Merlin'in Kazanı (Turkey),3DJuegos,Everyeye.it,PlayStation Universe,PlaySense,God is a Geek,Games Master UK,Gaming Nexus,Worth Playing,Eurogamer Italy,SpazioGames,IGN Italia,Push Square,IGN,Gameblog.fr,Multiplayer.it,4Players.de,GameGrin,PLAY! Zine,JeuxActu,GameOver.gr,XGN,We Got This Covered,TrueGaming,Impulsegamer,Critical Hit,Wccftech,InsideGamer.nl,Gameplanet,Shacknews,App Trigger,Metro GameCentral,Destructoid,GameSpot,CGMagazine,NZGamer,PlayStation LifeStyle,Gaming Age",",85,84,84,83,83,80,80,80,80,80,80,80,78,75,75,75,75,75,75,75,75,75,71,70,70,70,70,70,70,70,70,70,67,65,65,65,60,60,60,60,58,55,55,50,50,50,50,50,50,50,40,40,40,25"
Assassin's Creed II: Bonfire of the Vanities, Xbox 360,,
Underground, Wii U,,
Rhapsody: A Musical Adventure, DS,,
Cobra Kai: The Karate Kid Saga Continues," PlayStation 4, Switch",",Nintendo Enthusiast,Gamezebo,Starbit,Nintendo Life,Nintendo Force Magazine,Jeuxvideo.com,Everyeye.it,Switch Player",",75,70,70,70,65,60,50,40"
MTX Mototrax, PSP,,
Cities: Skylines - Nintendo Switch Edition, Switch,,
