name,platform,sources,scores
Tekken 4, PlayStation 2,"TotalGames.net,XenGamers,GamePro,Game Informer,IGN,Games Radar,TotalPlayStation,Electric Playground,GamerWeb Sony,GameZone,GameSpot,Total Video Games,PSX Nation,PSM Magazine,netjak,GameSpy,Electronic Gaming Monthly,Official U.S. Playstation Magazine,Yahoo!,Thunderbolt,G4 TV,Play Magazine,GameNow","91,91,90,90,90,90,87,85,85,85,84,80,80,80,71,71,70,70,70,70,60,60,50"
Twisted Metal: Black Online, PlayStation 2,"Game Over Online,Gaming Maxx,Gamers' Temple,GameZone,Media and Games Online Network,Game Informer,GameSpot,TotalPlayStation,Official U.S. Playstation Magazine,GamePro,Armchair Empire,Electronic Gaming Monthly,Gaming Age,Games Radar,GameSpy,All Game Guide,Gamestyle,Eurogamer","95,93,92,90,90,88,82,80,80,80,80,77,75,74,74,70,50,40"
Jumpgate: The Reconstruction Initiative, PC,"TotalGames.net,GameSpot,Computer Games Magazine,Total Video Games,GameSpy,IGN,Computer Gaming World,G4 TV","89,86,80,80,79,78,70,60"
Aqua Aqua, PlayStation 2,"GamePro,Daily Radar,Games Radar,Happy Puppy,Hot Games,All Game Guide,GamerWeb Sony,Gaming Maxx,IGN,Da Gameboyz,GameSpot,PSX Nation,Spank!,Game Revolution","90,88,88,85,80,80,80,78,77,75,71,70,60,58"
Space Empires IV, PC,"Yahoo!,IGN,Computer Games Magazine,Electric Playground,GameSpot,PC Gamer,Gamers' Temple,Armchair Empire,CNET Gamecenter,ActionTrip,GameZone,Media and Games Online Network,Game Over Online","100,90,90,85,81,80,80,80,70,70,65,64,57"
Sega Marine Fishing, Dreamcast,"GamerWeb Sega,Hot Games,Dreamcast.net,Sega X,Game Fan,AllDreamcast,IGN,CNET Gamecenter,Dreamcast HQ,Antagonist,GamePro,Gaming Maxx,GameSpot,Daily Radar,Gaming Age,Happy Puppy,DC Swirl,Game Revolution","90,90,88,86,85,82,82,80,80,80,80,79,78,75,75,70,70,50"
Pro Evolution Soccer 2019, PlayStation 4,"GameSpot,Vandal,Areajugones,Multiplayer.it,Hobby Consolas,IGN Spain,IGN Italia,PLAY! Zine,CD-Action,CD-Action,XGN,LevelUp,PlaySense,Everyeye.it,PlayStation Universe,3DJuegos,Game Informer,Jeuxvideo.com,Atomix,IGN,games(TM),IGN Japan,Sporting News,Playstation Official Magazine UK,GameOver.gr,Gamersky,TheSixthAxis,The Games Machine,Gamer.nl,BaziCenter,Trusted Reviews,PlayStation Country,Critical Hit,DualShockers,Forbes,Metro GameCentral,Gameblog.fr,GamesRadar+,COGconnected,LaPS4,Softpedia,God is a Geek,SpazioGames,4Players.de,New Game Network,Cubed3,Hardcore Gamer,InsideGamer.nl,Wccftech,Eurogamer Italy,PlayStation LifeStyle,Push Square,Twinfinite,We Got This Covered,USgamer,Guardian","90,88,88,87,87,87,87,85,85,85,85,85,85,85,85,85,85,85,83,82,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,78,76,75,75,75,74,74,70,70,70,70,70,70,70,70,70,60,60"
Mirror's Edge, Xbox 360,"Official Xbox Magazine,1UP,The A.V. Club,Xbox Achievements,Jolt Online Gaming UK,Gamer's Hell,InsideGamer.nl,Impulsegamer,VideoGamer,3DJuegos,Meristation,NZGamer,Gamer 2.0,Gamer.nl,GamerNode,WonderwallWeb,GameZone,Talk Xbox,ActionTrip,PTGamers,Gameplanet,GamingExcellence,Armchair Empire,Kikizo,IGN AU,GameFocus,MS Xbox World,AtomicGamer,Game Chronicles,Gaming Nexus,Vandal,IGN UK,Electronic Gaming Monthly,Console Monster,HellBored,Cheat Code Central,GamingTrend,Totally360,Game Over Online,DailyGame,games(TM),Games Master UK,Cynamite,NTSC-uk,Deeko,Xbox World Australia,Computer Games Online RO,Gameplayer,Eurogamer,GameSpy,Destructoid,Wired,Game Informer,GamePro,G4 TV,X-ONE Magazine UK,Boomtown,ZTGD,Gamervision,Planet Xbox 360,TeamXbox,Gaming Age,GameShark,XboxAddict,IGN,Gaming Target,Da Gameboyz,DarkZero,GameSpot,Official Xbox Magazine UK,Total Video Games,GameDaily,360 Gamer Magazine UK,Worth Playing,Gamers' Temple,Xbox World 360 Magazine UK,Thunderbolt,Gamestyle,GameCritics,Giant Bomb,BigPond GameArena,Game Revolution","95,91,91,90,90,90,90,90,90,90,90,90,90,90,90,89,88,88,88,85,85,85,85,85,85,85,85,85,84,83,83,83,83,82,82,82,81,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,78,76,75,75,73,73,72,70,70,70,70,70,70,70,70,68,68,60,60,60,60,50,50"
Tom Clancy's The Division, PC,"LEVEL (Czech Republic),CD-Action,GameSpew,Attack of the Fanboy,Games Master UK,Ragequit.gr,Merlin'in Kazanı (Turkey),GameStar,Hooked Gamers,Game Debate,Worth Playing,Meristation,Game World Navigator Magazine,Games.cz,MMORPG.com,Game Informer,CGMagazine,Giant Bomb,GameSpot,Hardcore Gamer,Gameblog.fr,PCGamesN,PC Games,GamesBeat,PC PowerPlay,Gamer.no,GRYOnline.pl,GameGrin,PLAY! Zine,PC Gamer,IGN,PC Invasion,PCWorld","100,90,90,90,87,86,86,85,85,85,85,85,82,80,80,80,80,80,80,80,80,80,79,75,70,70,70,70,70,68,67,60,60"
Resident Evil 4: Ultimate HD Edition, PC,"Gamers' Temple,DarkStation,DarkZero,NowGamer,Gameblog.fr,Gaming Nexus,ZTGD,PC Gamer,Gaming Age,Digital Chumps,Worth Playing,GamingTrend,Digital Spy,COGconnected,Multiplayer.it,JeuxActu,IGN Italia,Hardcore Gamer,Metro GameCentral,Eurogamer Italy,GameSpot,LevelUp,Vandal,3DJuegos,Meristation,GameOver.gr,Cheat Code Central,Gamereactor Sweden,Eurogamer Germany,USgamer,Game Revolution,Ragequit.gr,PC Games","95,90,90,90,90,88,85,85,83,82,80,80,80,80,80,80,80,80,80,80,80,78,77,75,75,70,70,70,70,70,70,60,56"
